WE(1).Potential (V)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)	WE(1).Current (A)
0.00250244140625	-2.87506103515625E-06	-7.977294921875E-08	-5.7098388671875E-08	-5.0262451171875E-08	-4.6783447265625E-08	-4.608154296875E-08	-4.669189453125E-08	-5.0994873046875E-08	-5.853271484375E-08	-7.21435546875E-08	-1.026611328125E-07	-1.44256591796875E-07	-1.7999267578125E-07	-2.05291748046875E-07
0.0049407958984375	-2.78411865234375E-06	-7.1533203125E-08	-5.4107666015625E-08	-4.3792724609375E-08	-4.2388916015625E-08	-4.315185546875E-08	-4.3365478515625E-08	-4.8736572265625E-08	-5.535888671875E-08	-7.04345703125E-08	-1.011962890625E-07	-1.4337158203125E-07	-1.7913818359375E-07	-2.04345703125E-07
0.0073883056640625	-2.6995849609375E-06	-6.5948486328125E-08	-4.840087890625E-08	-4.13543701171875E-08	-3.9013671875E-08	-3.9093017578125E-08	-4.1351318359375E-08	-4.6234130859375E-08	-5.5084228515625E-08	-6.9183349609375E-08	-1.0089111328125E-07	-1.42730712890625E-07	-1.78436279296875E-07	-2.03521728515625E-07
0.00980224609374999	-2.6251220703125E-06	-6.414794921875E-08	-4.3670654296875E-08	-3.8836669921875E-08	-3.77685546875E-08	-3.71795654296875E-08	-3.978271484375E-08	-4.52880859375E-08	-5.4107666015625E-08	-6.82373046875E-08	-1.00006103515625E-07	-1.422119140625E-07	-1.77825927734375E-07	-2.02667236328125E-07
0.0122711181640625	-2.55889892578125E-06	-6.0760498046875E-08	-4.1473388671875E-08	-3.709716796875E-08	-3.38409423828125E-08	-3.51409912109375E-08	-3.8397216796875E-08	-4.4952392578125E-08	-5.2032470703125E-08	-6.842041015625E-08	-9.979248046875E-08	-1.417236328125E-07	-1.7730712890625E-07	-2.01934814453125E-07
0.0146942138671875	-2.49359130859375E-06	-5.7952880859375E-08	-3.9947509765625E-08	-3.32855224609375E-08	-3.21807861328125E-08	-3.5137939453125E-08	-3.72833251953125E-08	-4.1900634765625E-08	-5.2398681640625E-08	-6.7840576171875E-08	-9.9212646484375E-08	-1.41326904296875E-07	-1.76788330078125E-07	-2.012939453125E-07
0.017138671875	-2.4346923828125E-06	-5.6884765625E-08	-3.80706787109375E-08	-3.18359375E-08	-3.14422607421875E-08	-3.3392333984375E-08	-3.5919189453125E-08	-4.2694091796875E-08	-5.120849609375E-08	-6.732177734375E-08	-9.8846435546875E-08	-1.40899658203125E-07	-1.7633056640625E-07	-2.005615234375E-07
0.0195556640625	-2.37579345703125E-06	-5.4290771484375E-08	-3.72314453125E-08	-3.1732177734375E-08	-2.99072265625E-08	-3.14239501953125E-08	-3.4454345703125E-08	-4.071044921875E-08	-5.029296875E-08	-6.6192626953125E-08	-9.86328125E-08	-1.40472412109375E-07	-1.7578125E-07	-1.99920654296875E-07
0.02200927734375	-2.3236083984375E-06	-5.078125E-08	-3.49212646484375E-08	-2.93701171875E-08	-2.86163330078125E-08	-2.91351318359375E-08	-3.5003662109375E-08	-4.0875244140625E-08	-5.0201416015625E-08	-6.634521484375E-08	-9.8175048828125E-08	-1.40106201171875E-07	-1.75384521484375E-07	-1.99188232421875E-07
0.024456787109375	-2.27813720703125E-06	-5.0872802734375E-08	-3.2012939453125E-08	-2.7886962890625E-08	-2.65167236328125E-08	-3.13568115234375E-08	-3.37158203125E-08	-3.97247314453125E-08	-4.9285888671875E-08	-6.6131591796875E-08	-9.8236083984375E-08	-1.397705078125E-07	-1.749267578125E-07	-1.986083984375E-07
0.026898193359375	-2.2296142578125E-06	-5.0506591796875E-08	-3.0126953125E-08	-2.67852783203125E-08	-2.6025390625E-08	-2.99591064453125E-08	-3.14453125E-08	-3.9251708984375E-08	-4.9560546875E-08	-6.585693359375E-08	-9.7412109375E-08	-1.39434814453125E-07	-1.74530029296875E-07	-1.97906494140625E-07
0.0293243408203125	-2.18597412109375E-06	-4.6844482421875E-08	-3.06121826171875E-08	-2.60986328125E-08	-2.62908935546875E-08	-2.89306640625E-08	-3.2696533203125E-08	-3.900146484375E-08	-4.8736572265625E-08	-6.5093994140625E-08	-9.759521484375E-08	-1.39129638671875E-07	-1.7413330078125E-07	-1.97265625E-07
0.0317626953125	-2.1435546875E-06	-4.547119140625E-08	-3.0718994140625E-08	-2.59918212890625E-08	-2.4688720703125E-08	-2.62603759765625E-08	-3.23333740234375E-08	-3.75701904296875E-08	-4.736328125E-08	-6.48193359375E-08	-9.7015380859375E-08	-1.387939453125E-07	-1.737060546875E-07	-1.9659423828125E-07
0.0342071533203125	-2.10052490234375E-06	-4.339599609375E-08	-2.9278564453125E-08	-2.415771484375E-08	-2.37030029296875E-08	-2.63458251953125E-08	-3.02703857421875E-08	-3.74481201171875E-08	-4.7882080078125E-08	-6.4971923828125E-08	-9.68017578125E-08	-1.38458251953125E-07	-1.73248291015625E-07	-1.9598388671875E-07
0.0366607666015625	-2.06695556640625E-06	-4.2633056640625E-08	-2.87139892578125E-08	-2.3919677734375E-08	-2.16949462890625E-08	-2.5494384765625E-08	-2.97393798828125E-08	-3.6419677734375E-08	-4.6875E-08	-6.45751953125E-08	-9.6466064453125E-08	-1.38153076171875E-07	-1.72882080078125E-07	-1.953125E-07
0.0390625	-2.030029296875E-06	-4.3243408203125E-08	-2.64801025390625E-08	-2.3046875E-08	-2.158203125E-08	-2.49725341796875E-08	-2.9095458984375E-08	-3.629150390625E-08	-4.7393798828125E-08	-6.40869140625E-08	-9.613037109375E-08	-1.37847900390625E-07	-1.7242431640625E-07	-1.947021484375E-07
0.0415069580078125	-1.9940185546875E-06	-4.23187255859375E-08	-2.51708984375E-08	-2.081298828125E-08	-2.27020263671875E-08	-2.34466552734375E-08	-2.86407470703125E-08	-3.636474609375E-08	-4.705810546875E-08	-6.341552734375E-08	-9.619140625E-08	-1.3751220703125E-07	-1.7205810546875E-07	-1.9415283203125E-07
0.0439605712890625	-1.9610595703125E-06	-4.00421142578125E-08	-2.43865966796875E-08	-2.00347900390625E-08	-2.1197509765625E-08	-2.376708984375E-08	-2.73651123046875E-08	-3.45428466796875E-08	-4.547119140625E-08	-6.34765625E-08	-9.5611572265625E-08	-1.3720703125E-07	-1.71722412109375E-07	-1.93511962890625E-07
0.04638671875	-1.93023681640625E-06	-4.1888427734375E-08	-2.49908447265625E-08	-1.9189453125E-08	-1.937255859375E-08	-2.33978271484375E-08	-2.6947021484375E-08	-3.4857177734375E-08	-4.583740234375E-08	-6.3507080078125E-08	-9.5794677734375E-08	-1.36871337890625E-07	-1.71234130859375E-07	-1.9287109375E-07
0.0488372802734375	-1.89971923828125E-06	-3.73260498046875E-08	-2.3419189453125E-08	-1.7669677734375E-08	-1.7132568359375E-08	-2.26806640625E-08	-2.7294921875E-08	-3.41888427734375E-08	-4.4464111328125E-08	-6.3385009765625E-08	-9.503173828125E-08	-1.36566162109375E-07	-1.70867919921875E-07	-1.92230224609375E-07
0.05126953125	-1.868896484375E-06	-3.74481201171875E-08	-2.26287841796875E-08	-1.8878173828125E-08	-1.817626953125E-08	-2.10601806640625E-08	-2.63641357421875E-08	-3.414306640625E-08	-4.4586181640625E-08	-6.243896484375E-08	-9.5123291015625E-08	-1.36199951171875E-07	-1.705322265625E-07	-1.91680908203125E-07
